Page URL,ILR,Schema.org (JSON-LD),Schema.org (Microdata),Open Graph,Twitter Cards,Microformats,Article items,Book items,Breadcrumb items,Carousel items,Course items,COVID-19 announcements (BETA) items,Dataset items,Employer Aggregate Rating items,Estimated salary items,Event items,Fact Check items,FAQ items,Guided recipe items,How-to items,Job posting items,Local Business items,Logo items,Merchant listing items,Movie items,Product snippet items,Product group items,Q&A items,Recipe on search items,Review snippet items,Sitelinks search box items,Site names items,Software App items,Vehicle listing items,Video items
https://purpleheartlimo.com/,100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://purpleheartlimo.com/about.html,50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/,80,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/5-myths-about-limousine-services-in-austin-debunked/,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/5-tips-for-booking-a-limo-in-austin-for-your-special-event/,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/addison-restaurant-row.html,15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/airport-transfers-made-easy-stress-free-travel-with-limo-services/,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/arlington-entertainment.html,15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/best-restaurants-dfw.html,15,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
https://purpleheartlimo.com/blog/bishop-arts-dallas.html,15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
